Fecha,LugarAccidente,Operador,OrigenDestino,TipoAeronave,TotalAbordo,TripulacionAbordo,PasajerosAbordo,TotalFallecidos,TripulacionFallecida,PasajerosFallecidos,FallecidosEnTierra,Longitud,Latitud
2001-10-08 00:00:00,"Milan, Italy",Scandinavian Airlines (SAS) / Private,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,114,8,106,114,8,106,4,9.1896346,45.4641943
2001-10-10 00:00:00," Valencia, Spain",Flightline,"Barcelona - Oran, Algeria",Swearingen SA-226AT Merlin IV,10,2,8,10,2,8,0,-0.3763353,39.4697065
2001-10-10 00:00:00,"Dillingham, Alaska",PenAir,Dillingham - King Salmon,Cessna 208 Caravan,10,1,9,10,1,9,0,-158.4575,59.0397222
2001-10-11 00:00:00,"Shamattawa, Canada",Perimeter Airlines,Gods Narrows - Shamattawa,Swearingen SA.226TC Metro I,3,2,1,2,2,0,0,-92.0897947,55.8608747
2001-10-18 00:00:00,"Anchorage, Alaska",ERA Aviation - Air Taxi,"Fire Island, AK - Anchorage, AK",Bell 206L,5,1,4,3,1,2,0,-149.894852,61.2163129
2001-11-12 00:00:00,"Belle Harbor, Queens, New York",American Airlines,"New York City - Santo Domingo, Dominican Rep.",Airbus A-300-605R,260,9,251,260,9,251,5,-73.84782868947303,40.5767844
2001-11-19 00:00:00,"Kalyazin, Russia",Charter - IRS Aero,Khatanga - Moscow,Ilyushin 18V,27,9,18,27,9,18,0,37.8404883,57.2400206
2001-11-22 00:00:00,"Pittsburgh, Pennsylvania",Universal Jet Aviation,"Pittsburgh, PA - Baca Raton, Fl",Learjet 25B,2,2,0,2,2,0,0,-80.6243098,40.3693889
2001-11-23 00:00:00,"Palade, Estonia",ELK Aviation Co. (leased from Eminex),Tallinn - Kardla,Antonov AN-28,17,3,14,2,0,2,0,22.85434014788745,58.96845435
2001-11-24 00:00:00,"Birchwil, Switzerland",Crossair,Berlin - Zurich,BAE Avro RJ100,33,5,28,24,3,21,0,8.6349201,47.4586072
2001-11-27 00:00:00,"Port Harcourt, Nigeria",MK Airlines,Luxembourg - Port Harcourt,Boeing 747-246F,13,13,0,1,1,0,0,7.0188527,4.7676576
2001-12-01 00:00:00," Novaya Inya , Russia","Military - Russian, cargo",Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,18,9,9,18,9,9,0,144.862259,59.375946
2001-12-14 00:00:00,"Geti, Democratic Republic Congo",Eagle Air,Bunia - Beni,Let 410A,6,2,4,6,2,4,0,23.8222636,-2.9814344
2001-12-16 00:00:00," Medellin, Colombia",Heliandes,Medellin - Quibdo,Let 410UVP-E,16,2,14,16,2,14,0,-75.573553,6.2443382
2001-12-26 00:00:00,"Bremerhaven, Germany",BAL Bremerhaven Airline,Bremerhaven - Wangerooge,Britten Norman BN-2B Trislander,9,1,8,8,1,7,0,8.5851945,53.5505392
2002-01-04 00:00:00,"Birmingham, England",Agco Corp,"Birmingham, England - Bangor, MA",Canadair CL-604,5,2,3,5,2,3,0,-1.9026911,52.4796992
2002-01-09 00:00:00,"Shamsi AFB, Pakistan",Military - U.S. Air Force,Jacobabad - Shamsi,Lockheed Hercules KC-130R,7,7,0,7,7,0,0,71.247499,30.3308401
